Shape,Clusterer,eps,min_samples,Finite_Count,Total_Cells,Min_Value,Best_Res,Best_Gain
3D_briecase_x2_y4_z1_S1000_y,automato,,,8,70,0.721625,6.0,0.3
3D_briecase_x2_y4_z1_S1000_y,dbscan-tight,0.4,4.0,11,70,1.33672,11.0,0.3
3D_briecase_x2_y4_z1_S1000_y,hierarchical-thresh,,,11,70,1.33672,11.0,0.3
3D_briecase_x2_y4_z1_S1000_y,dbscan-dense,0.7,8.0,0,70,inf,,
3D_briecase_x2_y4_z1_S1000_y,dbscan-loose,0.7,5.0,0,70,inf,,
3D_briecase_x2_y4_z1_S1000_y,dbscan-medium,0.55,4.0,0,70,inf,,
3D_briecase_x2_y4_z1_S1000_y,hierarchical,,,0,70,inf,,
3D_briecase_x2_y4_z1_S5000_y,automato,,,15,70,0.908216,5.0,0.25
3D_briecase_x2_y4_z1_S5000_y,dbscan-dense,0.7,8.0,0,70,inf,,
3D_briecase_x2_y4_z1_S5000_y,dbscan-loose,0.7,5.0,0,70,inf,,
3D_briecase_x2_y4_z1_S5000_y,dbscan-medium,0.55,4.0,0,70,inf,,
3D_briecase_x2_y4_z1_S5000_y,dbscan-tight,0.4,4.0,0,70,inf,,
3D_briecase_x2_y4_z1_S5000_y,hierarchical-thresh,,,0,70,inf,,
3D_briecase_x2_y4_z1_S5000_y,hierarchical,,,0,70,inf,,
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S1000_x,hierarchical,,,2,70,1.06581,5.0,0.1
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S1000_x,dbscan-tight,0.4,4.0,6,70,2.13151,6.0,0.15
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S1000_x,automato,,,6,70,2.20775,8.0,0.3
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S1000_x,dbscan-medium,0.55,4.0,8,70,2.3031,12.0,0.35
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S1000_x,hierarchical-thresh,,,6,70,2.3031,12.0,0.35
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S1000_x,dbscan-dense,0.7,8.0,2,70,2.31918,14.0,0.15
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S1000_x,dbscan-loose,0.7,5.0,0,70,inf,,
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S5000_x,dbscan-medium,0.55,4.0,1,70,0.292359,14.0,0.1
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S5000_x,dbscan-tight,0.4,4.0,1,70,0.292359,14.0,0.1
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S5000_x,hierarchical-thresh,,,1,70,0.292359,14.0,0.1
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S5000_x,hierarchical,,,3,70,1.11632,5.0,0.15
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S5000_x,automato,,,5,70,2.28445,10.0,0.25
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S5000_x,dbscan-dense,0.7,8.0,0,70,inf,,
3D_double_torus_R11p6_r10p9_R20p8_r20p2_S5000_x,dbscan-loose,0.7,5.0,0,70,inf,,
3D_double_torus_R12_r10p4_R21p5_r20p3_S1000_x,automato,,,26,70,0.346337,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S1000_x,dbscan-dense,0.7,8.0,59,70,0.374978,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S1000_x,dbscan-loose,0.7,5.0,59,70,0.374978,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S1000_x,dbscan-medium,0.55,4.0,59,70,0.374978,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S1000_x,dbscan-tight,0.4,4.0,59,70,0.374978,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S1000_x,hierarchical-thresh,,,59,70,0.374978,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S1000_x,hierarchical,,,8,70,0.579037,13.0,0.3
3D_double_torus_R12_r10p4_R21p5_r20p3_S5000_x,automato,,,59,70,0.376584,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S5000_x,dbscan-dense,0.7,8.0,61,70,0.376584,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S5000_x,dbscan-loose,0.7,5.0,61,70,0.376584,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S5000_x,dbscan-medium,0.55,4.0,61,70,0.376584,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S5000_x,dbscan-tight,0.4,4.0,62,70,0.376584,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S5000_x,hierarchical-thresh,,,62,70,0.376584,14.0,0.1
3D_double_torus_R12_r10p4_R21p5_r20p3_S5000_x,hierarchical,,,11,70,0.608023,13.0,0.35
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S1000_x,automato,,,28,70,0.606937,8.0,0.4
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S1000_x,dbscan-tight,0.4,4.0,45,70,1.02767,8.0,0.1
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S1000_x,hierarchical-thresh,,,24,70,1.12439,13.0,0.2
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S1000_x,dbscan-medium,0.55,4.0,11,70,1.32464,9.0,0.1
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S1000_x,dbscan-dense,0.7,8.0,0,70,inf,,
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S1000_x,dbscan-loose,0.7,5.0,0,70,inf,,
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S1000_x,hierarchical,,,0,70,inf,,
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S5000_x,automato,,,33,70,1.01905,8.0,0.2
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S5000_x,dbscan-tight,0.4,4.0,40,70,1.02513,11.0,0.1
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S5000_x,hierarchical-thresh,,,24,70,1.19282,7.0,0.1
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S5000_x,dbscan-medium,0.55,4.0,7,70,1.41865,11.0,0.15
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S5000_x,dbscan-dense,0.7,8.0,0,70,inf,,
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S5000_x,dbscan-loose,0.7,5.0,0,70,inf,,
3D_double_torus_yshift2_R12_r10p2_R21_r20p2_S5000_x,hierarchical,,,0,70,inf,,
3D_torus_R2_r0p2_S1000_x,dbscan-dense,0.7,8.0,67,70,0.201624,14.0,0.2
3D_torus_R2_r0p2_S1000_x,dbscan-loose,0.7,5.0,67,70,0.201624,14.0,0.2
3D_torus_R2_r0p2_S1000_x,dbscan-medium,0.55,4.0,67,70,0.201624,14.0,0.2
3D_torus_R2_r0p2_S1000_x,dbscan-tight,0.4,4.0,67,70,0.201624,14.0,0.2
3D_torus_R2_r0p2_S1000_x,hierarchical-thresh,,,67,70,0.201624,14.0,0.2
3D_torus_R2_r0p2_S1000_x,automato,,,38,70,0.239723,13.0,0.2
3D_torus_R2_r0p2_S1000_x,hierarchical,,,11,70,0.263065,13.0,0.35
3D_torus_R2_r0p2_S5000_x,dbscan-dense,0.7,8.0,70,70,0.180926,14.0,0.1
3D_torus_R2_r0p2_S5000_x,dbscan-loose,0.7,5.0,70,70,0.180926,14.0,0.1
3D_torus_R2_r0p2_S5000_x,dbscan-medium,0.55,4.0,70,70,0.180926,14.0,0.1
3D_torus_R2_r0p2_S5000_x,dbscan-tight,0.4,4.0,70,70,0.180926,14.0,0.1
3D_torus_R2_r0p2_S5000_x,hierarchical-thresh,,,70,70,0.180926,14.0,0.1
3D_torus_R2_r0p2_S5000_x,hierarchical,,,29,70,0.277752,12.0,0.4
3D_torus_R2_r0p2_S5000_x,automato,,,44,70,0.297081,11.0,0.1
3D_torus_R2_r1_S1000_x,dbscan-loose,0.7,5.0,59,70,0.236597,14.0,0.2
3D_torus_R2_r1_S1000_x,dbscan-dense,0.7,8.0,50,70,0.273987,14.0,0.35
3D_torus_R2_r1_S1000_x,dbscan-medium,0.55,4.0,35,70,0.35002,10.0,0.15
3D_torus_R2_r1_S1000_x,hierarchical-thresh,,,38,70,0.39639,12.0,0.35
3D_torus_R2_r1_S1000_x,automato,,,17,70,0.415348,8.0,0.1
3D_torus_R2_r1_S1000_x,hierarchical,,,1,70,2.12805,8.0,0.25
3D_torus_R2_r1_S1000_x,dbscan-tight,0.4,4.0,0,70,inf,,
3D_torus_R2_r1_S5000_x,dbscan-dense,0.7,8.0,61,70,0.244349,14.0,0.1
3D_torus_R2_r1_S5000_x,dbscan-loose,0.7,5.0,61,70,0.244349,14.0,0.1
3D_torus_R2_r1_S5000_x,dbscan-medium,0.55,4.0,61,70,0.244349,14.0,0.1
3D_torus_R2_r1_S5000_x,dbscan-tight,0.4,4.0,61,70,0.244349,14.0,0.1
3D_torus_R2_r1_S5000_x,hierarchical-thresh,,,61,70,0.244349,14.0,0.1
3D_torus_R2_r1_S5000_x,automato,,,21,70,0.368651,10.0,0.25
3D_torus_R2_r1_S5000_x,hierarchical,,,0,70,inf,,
3D_torus_R2_r1p7_S1000_x,dbscan-loose,0.7,5.0,9,70,0.734789,9.0,0.3
3D_torus_R2_r1p7_S1000_x,dbscan-dense,0.7,8.0,6,70,0.826615,7.0,0.4
3D_torus_R2_r1p7_S1000_x,hierarchical,,,2,70,0.922248,5.0,0.2
3D_torus_R2_r1p7_S1000_x,automato,,,13,70,1.03683,7.0,0.4
3D_torus_R2_r1p7_S1000_x,dbscan-medium,0.55,4.0,5,70,1.52003,5.0,0.25
3D_torus_R2_r1p7_S1000_x,dbscan-tight,0.4,4.0,0,70,inf,,
3D_torus_R2_r1p7_S1000_x,hierarchical-thresh,,,0,70,inf,,
3D_torus_R2_r1p7_S5000_x,automato,,,20,70,0.543015,11.0,0.4
3D_torus_R2_r1p7_S5000_x,dbscan-dense,0.7,8.0,0,70,inf,,
3D_torus_R2_r1p7_S5000_x,dbscan-loose,0.7,5.0,0,70,inf,,
3D_torus_R2_r1p7_S5000_x,dbscan-medium,0.55,4.0,0,70,inf,,
3D_torus_R2_r1p7_S5000_x,dbscan-tight,0.4,4.0,0,70,inf,,
3D_torus_R2_r1p7_S5000_x,hierarchical-thresh,,,0,70,inf,,
3D_torus_R2_r1p7_S5000_x,hierarchical,,,0,70,inf,,
